n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
49,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48'],
      dtype='object')",dl_avg,2.35,8.286,-1.106,0.312,0.096
50,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49'],
      dtype='object')",dl_avg,2.376,9.681,-1.461,0.315,0.116
51,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50'],
      dtype='object')",dl_avg,2.3,8.467,-1.152,0.308,0.108
52,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51'],
      dtype='object')",dl_avg,2.796,13.959,-2.548,0.376,0.137
53,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52'],
      dtype='object')",dl_avg,3.86,39.972,-9.16,0.487,0.229
54,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53'],
      dtype='object')",dl_avg,2.33,9.218,-1.343,0.303,0.13
55,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53', 'pca_54'],
      dtype='object')",dl_avg,2.327,9.175,-1.332,0.31,0.096
56,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53', 'pca_54', 'pca_55'],
      dtype='object')",dl_avg,2.236,7.868,-1.0,0.293,0.095
57,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53', 'pca_54', 'pca_55', 'pca_56'],
      dtype='object')",dl_avg,2.305,9.059,-1.303,0.297,0.0
58,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53', 'pca_54', 'pca_55', 'pca_56',
       'pca_57'],
      dtype='object')",dl_avg,2.44,11.593,-1.947,0.323,0.116
59,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47', 'pca_48', 'pca_49',
       'pca_50', 'pca_51', 'pca_52', 'pca_53', 'pca_54', 'pca_55', 'pca_56',
       'pca_57', 'pca_58'],
      dtype='object')",dl_avg,2.228,7.82,-0.988,0.293,0.092
2,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)', 'MS_Volume Traffic UL (MB)(MB)'], dtype='object')",ul_avg,0.231,0.09,0.029,0.283,0.023
3,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)'],
      dtype='object')",ul_avg,0.242,0.096,-0.04,0.292,0.024
4,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak'],
      dtype='object')",ul_avg,0.238,0.092,0.008,0.286,0.023
5,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)'],
      dtype='object')",ul_avg,0.242,0.095,-0.034,0.293,0.024
6,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg'],
      dtype='object')",ul_avg,0.242,0.091,0.012,0.292,0.023
7,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)'],
      dtype='object')",ul_avg,0.235,0.09,0.026,0.281,0.023
8,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)'],
      dtype='object')",ul_avg,0.226,0.085,0.081,0.268,0.021
9,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)'],
      dtype='object')",ul_avg,0.241,0.098,-0.064,0.288,0.025
10,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)'],
      dtype='object')",ul_avg,0.247,0.098,-0.067,0.299,0.025
11,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)'],
      dtype='object')",ul_avg,0.234,0.092,0.005,0.279,0.023
12,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)'],
      dtype='object')",ul_avg,0.235,0.094,-0.015,0.28,0.024
13,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)'],
      dtype='object')",ul_avg,0.254,0.105,-0.137,0.304,0.026
14,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Volume Traffic DL (MB)(MB)'],
      dtype='object')",ul_avg,0.243,0.096,-0.044,0.291,0.024
15,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)'],
      dtype='object')",ul_avg,0.244,0.1,-0.079,0.287,0.025
16,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)'],
      dtype='object')",ul_avg,0.261,0.106,-0.147,0.309,0.027
17,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)'],
      dtype='object')",ul_avg,0.25,0.098,-0.061,0.292,0.024
18,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)'],
      dtype='object')",ul_avg,0.244,0.091,0.009,0.289,0.023
19,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)'],
      dtype='object')",ul_avg,0.244,0.099,-0.071,0.31,0.025
20,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)'],
      dtype='object')",ul_avg,0.244,0.096,-0.044,0.285,0.024
21,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)'],
      dtype='object')",ul_avg,0.245,0.097,-0.049,0.285,0.024
22,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)',
       'S1 Signaling Success Ratio_LTE(%)'],
      dtype='object')",ul_avg,0.233,0.09,0.02,0.27,0.022
23,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'RRC Setup Success Ratio_LTE(%)'],
      dtype='object')",ul_avg,0.242,0.097,-0.049,0.297,0.024
24,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'RRC Setup Success Ratio_LTE(%)',
       'MS_RBLER-DL_NOM(number)'],
      dtype='object')",ul_avg,0.247,0.102,-0.103,0.302,0.026
25,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'RRC Setup Success Ratio_LTE(%)',
       'MS_RBLER-DL_NOM(number)', 'dl_peak'],
      dtype='object')",ul_avg,0.253,0.108,-0.17,0.317,0.027
26,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Volume Traffic UL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'ul_peak', 'MS_RBLER-DL(%)', 'dl_avg',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'Total Traffic_LTE(MB)', 'MS_UL Packet Loss Rate_DENOM(number)',
       'Packet Delay Budget QCI1_QCI5 (Denom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Denom)(number)',
       'Average eNodeB RB utilization UL_LTE(%)', 'Volume Traffic DL (MB)(MB)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'RTWP(dBm0)', 'MS_RTWP(dBm)', 'RTWP_LTE(dB)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'Maximum eNodeB RB utilization DL (Denom)(number)',
       'Average eNodeB RB utilization UL (Denom)(number)',
       'S1 Signaling Success Ratio_LTE(%)', 'RRC Setup Success Ratio_LTE(%)',
       'MS_RBLER-DL_NOM(number)', 'dl_peak',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)'],
      dtype='object')",ul_avg,0.257,0.107,-0.164,0.319,0.027
